INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (1, 1, 'Tarjeta', 50.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (48, 48, 'Tarjeta', 62.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (49, 49, 'Efectivo', 80.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (50, 50, 'Tarjeta', 54.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (51, 51, 'Efectivo', 26.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (52, 52, 'Tarjeta', 95.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (53, 53, 'Efectivo', 39.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (54, 54, 'Tarjeta', 72.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (55, 55, 'Efectivo', 49.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (56, 56, 'Tarjeta', 83.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (57, 57, 'Efectivo', 27.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (58, 58, 'Tarjeta', 68.90);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (59, 59, 'Efectivo', 47.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (60, 60, 'Tarjeta', 36.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (61, 61, 'Efectivo', 92.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (62, 62, 'Tarjeta', 61.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (63, 63, 'Efectivo', 55.90);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (64, 64, 'Tarjeta', 73.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (65, 65, 'Efectivo', 50.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (66, 66, 'Tarjeta', 38.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (67, 67, 'Efectivo', 88.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (68, 68, 'Tarjeta', 77.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (69, 69, 'Efectivo', 45.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (70, 70, 'Tarjeta', 63.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (71, 71, 'Efectivo', 92.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (72, 72, 'Tarjeta', 37.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (73, 73, 'Efectivo', 48.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (74, 74, 'Tarjeta', 61.90);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (75, 75, 'Efectivo', 28.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (76, 76, 'Tarjeta', 80.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (77, 77, 'Efectivo', 41.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (78, 78, 'Tarjeta', 75.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (79, 79, 'Efectivo', 33.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (80, 80, 'Tarjeta', 68.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (81, 81, 'Efectivo', 46.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (82, 82, 'Tarjeta', 54.70);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (83, 83, 'Efectivo', 74.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (84, 84, 'Tarjeta', 39.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (85, 85, 'Efectivo', 50.90);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (86, 86, 'Tarjeta', 27.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (87, 87, 'Efectivo', 82.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (88, 88, 'Tarjeta', 34.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (89, 89, 'Efectivo', 69.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (90, 90, 'Tarjeta', 31.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (91, 91, 'Efectivo', 78.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (92, 92, 'Tarjeta', 42.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (93, 93, 'Efectivo', 84.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (94, 94, 'Tarjeta', 36.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (95, 95, 'Efectivo', 52.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (96, 96, 'Tarjeta', 60.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (97, 97, 'Efectivo', 33.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (98, 98, 'Tarjeta', 89.90);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (99, 99, 'Efectivo', 46.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (100, 100, 'Tarjeta', 70.50);
